Number of records, Number of threads, number of request/second, Action(methods), Total time in nano second), ProjectType
300,1,10000,ALL,83332800,WEB_FLUX
300,1,10000,ALL,101156200,WEB_FLUX
300,1,10000,ALL,86128500,WEB_FLUX
300,1,10000,ALL,97679800,WEB_FLUX
300,1,10000,ALL,108190700,WEB_FLUX
300,1,10000,ALL,81940300,WEB_FLUX
300,1,10000,ALL,105801800,WEB_FLUX


300,1,1,ALL,891030800,SPRING_MVC
300,1,1,ALL,6720200,SPRING_MVC
300,1,1,ALL,11110100,SPRING_MVC
300,1,1,ALL,6743700,SPRING_MVC
300,1,1,ALL,9179100,SPRING_MVC
300,1,1,ALL,6452700,SPRING_MVC
300,1,1,ALL,8958700,SPRING_MVC
300,1,1,ALL,5437000,SPRING_MVC
300,1,1,ALL,8644800,SPRING_MVC
300,1,1,ALL,4950200,SPRING_MVC

300,1,2,ALL,633133900,SPRING_MVC
300,1,2,ALL,6678900,SPRING_MVC
300,1,2,ALL,8798600,SPRING_MVC
300,1,2,ALL,7886000,SPRING_MVC
300,1,2,ALL,7771600,SPRING_MVC
300,1,2,ALL,17935400,SPRING_MVC
300,1,2,ALL,8537000,SPRING_MVC
300,1,2,ALL,6817900,SPRING_MVC
300,1,2,ALL,6414800,SPRING_MVC
300,1,2,ALL,6268100,SPRING_MVC

300,1,4,ALL,640908600,SPRING_MVC
300,1,4,ALL,4336500,SPRING_MVC
300,1,4,ALL,5005500,SPRING_MVC
300,1,4,ALL,4030900,SPRING_MVC
300,1,4,ALL,4395600,SPRING_MVC
300,1,4,ALL,3888300,SPRING_MVC
300,1,4,ALL,4055200,SPRING_MVC
300,1,4,ALL,4372400,SPRING_MVC
300,1,4,ALL,3684400,SPRING_MVC
300,1,4,ALL,4353500,SPRING_MVC

300,1,16,ALL,636238500,SPRING_MVC
300,1,16,ALL,4724800,SPRING_MVC
300,1,16,ALL,3778700,SPRING_MVC
300,1,16,ALL,3854100,SPRING_MVC
300,1,16,ALL,3120500,SPRING_MVC
300,1,16,ALL,3579000,SPRING_MVC
300,1,16,ALL,2993900,SPRING_MVC
300,1,16,ALL,3038100,SPRING_MVC
300,1,16,ALL,2917700,SPRING_MVC
300,1,16,ALL,3363300,SPRING_MVC

300,1,32,ALL,553684900,SPRING_MVC
300,1,32,ALL,3207500,SPRING_MVC
300,1,32,ALL,3135800,SPRING_MVC
300,1,32,ALL,2658500,SPRING_MVC
300,1,32,ALL,2767900,SPRING_MVC
300,1,32,ALL,2850500,SPRING_MVC
300,1,32,ALL,3008200,SPRING_MVC
300,1,32,ALL,3194300,SPRING_MVC
300,1,32,ALL,4646200,SPRING_MVC
300,1,32,ALL,2906700,SPRING_MVC

300,1,64,ALL,530152200,SPRING_MVC
300,1,64,ALL,3201400,SPRING_MVC
300,1,64,ALL,2833800,SPRING_MVC
300,1,64,ALL,3147900,SPRING_MVC
300,1,64,ALL,2509600,SPRING_MVC
300,1,64,ALL,3143300,SPRING_MVC
300,1,64,ALL,2730400,SPRING_MVC
300,1,64,ALL,2760300,SPRING_MVC
300,1,64,ALL,2880500,SPRING_MVC
300,1,64,ALL,2631700,SPRING_MVC

300,1,128,ALL,519521600,SPRING_MVC
300,1,128,ALL,2977800,SPRING_MVC
300,1,128,ALL,2548000,SPRING_MVC
300,1,128,ALL,2776200,SPRING_MVC
300,1,128,ALL,2519800,SPRING_MVC
300,1,128,ALL,2440800,SPRING_MVC
300,1,128,ALL,2703600,SPRING_MVC
300,1,128,ALL,2812900,SPRING_MVC
300,1,128,ALL,2510500,SPRING_MVC
300,1,128,ALL,2983300,SPRING_MVC

300,1,256,ALL,537089000,SPRING_MVC
300,1,256,ALL,3475200,SPRING_MVC
300,1,256,ALL,2642900,SPRING_MVC
300,1,256,ALL,3251600,SPRING_MVC
300,1,256,ALL,2467200,SPRING_MVC
300,1,256,ALL,2743300,SPRING_MVC
300,1,256,ALL,2863600,SPRING_MVC
300,1,256,ALL,2915800,SPRING_MVC
300,1,256,ALL,2794600,SPRING_MVC
300,1,256,ALL,2674900,SPRING_MVC

300,1,512,ALL,506498800,SPRING_MVC
300,1,512,ALL,2998300,SPRING_MVC
300,1,512,ALL,2705100,SPRING_MVC
300,1,512,ALL,3234600,SPRING_MVC
300,1,512,ALL,2906000,SPRING_MVC
300,1,512,ALL,2516500,SPRING_MVC
300,1,512,ALL,3410900,SPRING_MVC
300,1,512,ALL,2539400,SPRING_MVC
300,1,512,ALL,2636200,SPRING_MVC
300,1,512,ALL,2552500,SPRING_MVC

300,1,1024,ALL,526061000,SPRING_MVC
300,1,1024,ALL,2878200,SPRING_MVC
300,1,1024,ALL,2974000,SPRING_MVC
300,1,1024,ALL,3205000,SPRING_MVC
300,1,1024,ALL,2709000,SPRING_MVC
300,1,1024,ALL,3035600,SPRING_MVC
300,1,1024,ALL,2610100,SPRING_MVC
300,1,1024,ALL,2692300,SPRING_MVC
300,1,1024,ALL,3121300,SPRING_MVC
300,1,1024,ALL,2648700,SPRING_MVC

300,1,5000,ALL,544315300,SPRING_MVC
300,1,5000,ALL,2643200,SPRING_MVC
300,1,5000,ALL,2915200,SPRING_MVC
300,1,5000,ALL,2793100,SPRING_MVC
300,1,5000,ALL,2544200,SPRING_MVC
300,1,5000,ALL,3114400,SPRING_MVC
300,1,5000,ALL,2567200,SPRING_MVC
300,1,5000,ALL,2676400,SPRING_MVC
300,1,5000,ALL,3492900,SPRING_MVC
300,1,5000,ALL,2603600,SPRING_MVC

300,1,10000,ALL,522227500,SPRING_MVC
300,1,10000,ALL,2867600,SPRING_MVC
300,1,10000,ALL,4416600,SPRING_MVC
300,1,10000,ALL,2761500,SPRING_MVC
300,1,10000,ALL,2834900,SPRING_MVC
300,1,10000,ALL,2672900,SPRING_MVC
300,1,10000,ALL,3336000,SPRING_MVC
300,1,10000,ALL,2858300,SPRING_MVC
300,1,10000,ALL,4866300,SPRING_MVC
300,1,10000,ALL,2575100,SPRING_MVC

300,2,1,ALL,551815200,SPRING_MVC
300,2,1,ALL,4672200,SPRING_MVC
300,2,1,ALL,8193400,SPRING_MVC
300,2,1,ALL,4401100,SPRING_MVC
300,2,1,ALL,6864200,SPRING_MVC
300,2,1,ALL,3394200,SPRING_MVC
300,2,1,ALL,7166700,SPRING_MVC
300,2,1,ALL,3133400,SPRING_MVC
300,2,1,ALL,5562100,SPRING_MVC
300,2,1,ALL,4139800,SPRING_MVC

300,2,2,ALL,554649700,SPRING_MVC
300,2,2,ALL,4548700,SPRING_MVC
300,2,2,ALL,8987500,SPRING_MVC
300,2,2,ALL,6685700,SPRING_MVC
300,2,2,ALL,5433100,SPRING_MVC
300,2,2,ALL,4263600,SPRING_MVC
300,2,2,ALL,4470500,SPRING_MVC
300,2,2,ALL,4442700,SPRING_MVC
300,2,2,ALL,4912000,SPRING_MVC
300,2,2,ALL,4589300,SPRING_MVC

300,2,5,ALL,532925300,SPRING_MVC
300,2,5,ALL,3674900,SPRING_MVC
300,2,5,ALL,3202200,SPRING_MVC
300,2,5,ALL,3097500,SPRING_MVC
300,2,5,ALL,4700900,SPRING_MVC
300,2,5,ALL,3291600,SPRING_MVC
300,2,5,ALL,3333200,SPRING_MVC
300,2,5,ALL,2987400,SPRING_MVC
300,2,5,ALL,3490400,SPRING_MVC
300,2,5,ALL,3237000,SPRING_MVC

300,2,10,ALL,542078000,SPRING_MVC
300,2,10,ALL,4912100,SPRING_MVC
300,2,10,ALL,2866200,SPRING_MVC
300,2,10,ALL,3268600,SPRING_MVC
300,2,10,ALL,3765600,SPRING_MVC
300,2,10,ALL,3397600,SPRING_MVC
300,2,10,ALL,2973300,SPRING_MVC
300,2,10,ALL,3145600,SPRING_MVC
300,2,10,ALL,3683300,SPRING_MVC
300,2,10,ALL,2761500,SPRING_MVC

300,2,100,ALL,551558100,SPRING_MVC
300,2,100,ALL,3219100,SPRING_MVC
300,2,100,ALL,2683500,SPRING_MVC
300,2,100,ALL,2416000,SPRING_MVC
300,2,100,ALL,4008800,SPRING_MVC
300,2,100,ALL,4202200,SPRING_MVC
300,2,100,ALL,2782200,SPRING_MVC
300,2,100,ALL,2496400,SPRING_MVC
300,2,100,ALL,2850600,SPRING_MVC
300,2,100,ALL,2613000,SPRING_MVC

300,2,500,ALL,560478300,SPRING_MVC
300,2,500,ALL,2943300,SPRING_MVC
300,2,500,ALL,3751800,SPRING_MVC
300,2,500,ALL,3095900,SPRING_MVC
300,2,500,ALL,3869300,SPRING_MVC
300,2,500,ALL,3962100,SPRING_MVC
300,2,500,ALL,4422200,SPRING_MVC
300,2,500,ALL,4259300,SPRING_MVC
300,2,500,ALL,3591400,SPRING_MVC
300,2,500,ALL,4356300,SPRING_MVC

300,2,1000,ALL,563255400,SPRING_MVC
300,2,1000,ALL,3137200,SPRING_MVC
300,2,1000,ALL,3892900,SPRING_MVC
300,2,1000,ALL,3679000,SPRING_MVC
300,2,1000,ALL,4494100,SPRING_MVC
300,2,1000,ALL,4274000,SPRING_MVC
300,2,1000,ALL,4285900,SPRING_MVC
300,2,1000,ALL,3371200,SPRING_MVC
300,2,1000,ALL,4422300,SPRING_MVC
300,2,1000,ALL,3046900,SPRING_MVC

300,2,10000,ALL,586642800,SPRING_MVC
300,2,10000,ALL,4314800,SPRING_MVC
300,2,10000,ALL,4831400,SPRING_MVC
300,2,10000,ALL,3057100,SPRING_MVC
300,2,10000,ALL,4294400,SPRING_MVC
300,2,10000,ALL,4755600,SPRING_MVC
300,2,10000,ALL,4456700,SPRING_MVC
300,2,10000,ALL,3228800,SPRING_MVC
300,2,10000,ALL,3314700,SPRING_MVC
300,2,10000,ALL,3454600,SPRING_MVC

300,4,1,ALL,665913000,SPRING_MVC
300,4,1,ALL,4962500,SPRING_MVC
300,4,1,ALL,9542000,SPRING_MVC
300,4,1,ALL,4021200,SPRING_MVC
300,4,1,ALL,6928000,SPRING_MVC
300,4,1,ALL,3602100,SPRING_MVC
300,4,1,ALL,5894600,SPRING_MVC
300,4,1,ALL,4878600,SPRING_MVC
300,4,1,ALL,6181300,SPRING_MVC
300,4,1,ALL,3812200,SPRING_MVC

300,4,2,ALL,604904700,SPRING_MVC
300,4,2,ALL,4821700,SPRING_MVC
300,4,2,ALL,6321000,SPRING_MVC
300,4,2,ALL,6224200,SPRING_MVC
300,4,2,ALL,5649200,SPRING_MVC
300,4,2,ALL,5488100,SPRING_MVC
300,4,2,ALL,5503700,SPRING_MVC
300,4,2,ALL,5115500,SPRING_MVC
300,4,2,ALL,5493400,SPRING_MVC
300,4,2,ALL,5720500,SPRING_MVC

300,4,5,ALL,583727100,SPRING_MVC
300,4,5,ALL,3994800,SPRING_MVC
300,4,5,ALL,4529100,SPRING_MVC
300,4,5,ALL,3960600,SPRING_MVC
300,4,5,ALL,2972500,SPRING_MVC
300,4,5,ALL,3506400,SPRING_MVC
300,4,5,ALL,3750000,SPRING_MVC
300,4,5,ALL,3363300,SPRING_MVC
300,4,5,ALL,2916800,SPRING_MVC
300,4,5,ALL,3621400,SPRING_MVC

300,4,10,ALL,576388700,SPRING_MVC
300,4,10,ALL,7455700,SPRING_MVC
300,4,10,ALL,3988100,SPRING_MVC
300,4,10,ALL,3818500,SPRING_MVC
300,4,10,ALL,3227300,SPRING_MVC
300,4,10,ALL,3049000,SPRING_MVC
300,4,10,ALL,3720300,SPRING_MVC
300,4,10,ALL,3671900,SPRING_MVC
300,4,10,ALL,3637000,SPRING_MVC
300,4,10,ALL,4034600,SPRING_MVC

300,4,100,ALL,563730200,SPRING_MVC
300,4,100,ALL,5969100,SPRING_MVC
300,4,100,ALL,4302500,SPRING_MVC
300,4,100,ALL,4299600,SPRING_MVC
300,4,100,ALL,4971200,SPRING_MVC
300,4,100,ALL,4146500,SPRING_MVC
300,4,100,ALL,3665300,SPRING_MVC
300,4,100,ALL,3968600,SPRING_MVC
300,4,100,ALL,4768900,SPRING_MVC
300,4,100,ALL,5708600,SPRING_MVC
300,4,500,ALL,637307900,SPRING_MVC
